cnpj;codCVM;codB3
00000000000191;00102;BBAS3
00000208000100;01420;BSLI4
00001180000126;00243;ELET3
00020540000137;01453;MLPA4
00022034000187;01475;UBHD3
00027742000100;01772;TRIM3
00028986000108;01559;ELAT3
00070698000111;01445;CEBR6
00095147000102;01454;NCNE3
00108786000165;01462;NETC4
00187032000148;02024;KSSA3
00194724000113;02617;AESO3
00242184000104;02606;ARML3
00272185000193;01481;CMSA3
00272185000193;01481;CMSA9
00272185000193;01481;CMSA10
00332266000131;362247;FVPQ11
00336701000104;01125;TELB4
00354053000100;01508;LOAR4
00359742000108;01542;ATOM3
00416968000101;02440;BIDI3
00514998000142;01620;ETRO3B
00613094000174;242871;PABY11
00622416000141;02259;STKF3
00649881000176;01491;GTDP4B
00743065000127;01509;LTEL3B
00762723000128;362085;CTXT11
00776574000156;02099;AMER3
00864214000106;01525;ENGI11
00864214000106;01525;ENGI12
00866577000180;01526;PSEG3
00924429000175;01536;VSPT3
00924432000199;01537;PQTM3
00938574000105;01920;CRTE3B
00956274000159;01528;CETE4
01027058000191;02173;CIEL3
01083200000118;01553;NEOE3
01102291000191;01550;MCWS3
01104894000122;01548;SHTM3
01104937000170;01578;LIPR3
01107327000120;02466;BBML3
01109184000195;01988;UOLL4
01201140000190;362115;ABCP11
01235622000161;091596;FTCE11B
01258943000181;01586;SQRM3
01258945000170;01569;GRUC3
01391425000131;01599;PORP4
01402946000147;01995;VVAX11
01417222000177;01794;MRSA5B
01425787000104;02089;RDCD3
01543032000104;00244;CGOS3
01545826000107;01610;GFSA3
01545826000107;01610;GFSA1
01547749000116;01633;QVUM3B
01548981000179;00604;FIGE3
01599101000193;02516;SEQL3
01608571000176;01623;PBEL3B
01633741000172;362484;FMOF11
01657856000105;362557;SCPF11
01672223000168;01632;CDOU4
01685903000116;01619;AMCE3
01772313000120;01622;VLTR3B
01832635000118;01639;TAMM4
01838723000127;01629;BRFS3
01851771000155;01628;QVQP3B
01896779000138;02004;CSUD3
01917705000130;01931;AELP3
01938783000111;01870;PEAB3
01957772000189;01643;OPTS3B
01971614000183;01649;ECPR4
02016439000138;01653;RGEG3
02016440000162;01652;AESL3
02027437000144;362077;BMII11
02062747000108;01658;OPSE3B
02084220000176;01644;STBR11
02117801000167;01656;BNPA3B
02149205000169;01665;PSSA3
02162616000194;01662;UPKP3B
02193750000152;01663;DEXP3
02217319000107;01670;YBRA3B
02225714000123;01673;IENG3
02255187000108;02605;FIQE3
02288752000125;01680;APPA3
02291077000193;01923;PRMN3B
02302100000106;01698;EBEN4
02302101000142;01699;EMAE4
02312604000107;01695;OPDL3B
02318346000168;01694;OPHE3B
02320739000106;01721;TMGC7
02328280000197;01748;EKTR4
02332397000144;01722;TPRC6
02336993000100;01707;TPEC6B
02338534000158;01743;SPRT3B
02340278000133;01728;TMAC8B
02351144000118;02080;TGMA3
02351877000152;02491;LWSA3
02357251000153;02487;LMED3
02363917000186;01733;OPRE3B
02363918000120;01736;OPZI3B
02365069000144;01841;PDTC3
02387241000160;01745;RAIL3
02390206000109;01744;PITI4
02421421000111;02492;TIMS3
02429144000193;01866;CPFE3
02457269000127;01735;FRPS3
02465783000104;01738;FTRT3B
02474103000119;01732;EGIE3
02476710000118;01741;TLVT3B
02535295000126;01777;MAOR3B
02541982000154;02255;SEDU3
02558074000173;01771;VIVO3
02558118000165;01770;TMCP4
02558124000112;01764;EBTP4
02558134000158;01765;TNLP3
02558154000129;01760;TNCP3
02558157000162;01767;VIVT3
02591787000139;01749;CPTP3B
02604860000160;01755;SLCT3B
02604997000114;01754;NEWT3B
02635522000195;02549;JALL3
02659727000100;01775;RNPT3
02664042000152;01853;MNZC3B
02670203000110;01802;RCPR12
02670204000165;01800;RHPR3
02670205000100;01801;RPPR3
02762113000150;01792;BFRE3
02762115000149;01791;MMXM3
02762115000149;01791;MMXM11
02762121000104;01789;STBP3
02762122000140;01790;SEBB11
02762124000130;01788;BETP3B
02783423000150;01806;ALTR3
02790893000141;01831;CSPC4
02796775000140;01796;OPGM3B
02800026000140;01797;COGN3
02808481000191;01810;AETA3
02808710000178;01803;AMRI8
02846056000197;01882;CCRO3
02860694000162;02245;SHOW3
02914460000150;01819;SALM3
02916265000160;02057;JBSS3
02919555000167;01977;ARTR3
02932074000191;02143;HYPE3
02950811000189;02047;PDGR3
02992449000109;01833;PRPT3B
02998301000181;01836;GEPA4
02998609000127;01835;GETI3
02998611000104;01837;TRPL4
03002935000103;01852;MLCF4
03014553000191;01933;TPIS3
03114361000157;02009;DSUL3
03220438000173;02001;EQTL3
03251720000118;362476;FPAB11
03303999000136;01859;DTCY3
03342704000130;02578;RECV3
03378521000175;01987;LIGT3
03420904000164;02011;GVTT3
03467321000199;01460;ENMT3
03507519000159;362166;SHPH11
