"cnpj","dataReferencia","codigoCVM","codigoCVM2","codigoCVMsemDigito","codB3","setorCVM","dataConstituicao","dataSituacaoRegistroCVM","nomeEmpresarial","especieControleAcionario","mesEncerraExercSocial","descricaoAtividade"
"00.000.000/0001-91",2023-01-01,"1023","01023","102","BBAS","Bancos","1808-10-12","1977-07-20","BCO BRASIL S.A.","Estatal",12,"Banco Múltiplo"
"15.124.464/0001-87",2022-01-01,"1244","01244","124","BCE4","Bancos","1834-07-13","1977-07-20","BANCO BESA S.A.","Privado",12,""
"05.707.616/0001-10",2018-01-01,"80160","80160","8016",NA,"Bancos","1857-03-21","2014-08-07","BANCO SANTANDER S.A.","Estrangeiro",12,"Instituição Financeira"
"15.144.017/0001-90",2023-01-01,"3115","03115","311","CSAB","Seguradoras e Corretoras","1870-01-15","1977-07-20","CIA SEGUROS ALIANCA DA BAHIA","Privado",12,"COMPANHIA DE SEGUROS"
"61.856.571/0001-17",2023-01-01,"15636","15636","1563","CGAS","Emp. Adm. Part. - Saneamento, Serv. Água e Gás","1872-08-28","1996-07-03","CIA GAS DE SAO PAULO - COMGAS","Privado",12,"Setor de atividade: Utilidade Pública: Distribuição de gás natural canalizado."
"17.245.234/0001-00",2023-01-01,"3077","03077","307","CEDO","Têxtil e Vestuário","1883-04-02","1969-08-11","CIA FIACAO TECIDOS CEDRO CACHOEIRA","Privado",12,"Indústria têxtil"
"60.730.348/0001-66",2023-01-01,"3654","03654","365","MSPA","Papel e Celulose","1890-09-12","1977-07-20","CIA MELHORAMENTOS DE SAO PAULO","Privado",12,""
"21.255.567/0001-89",2023-01-01,"4081","04081","408","CTSA","Têxtil e Vestuário","1891-10-23","1984-12-20","CIA TECIDOS SANTANENSE","Privado",12,"Indústria têxtil"
"82.981.671/0001-45",2013-01-01,"5827","05827","582","FTRX","Têxtil e Vestuário","1892-03-11","1969-11-13","FAB TECIDOS CARLOS RENAUX SA - EM RECUPERACAO JUDICIAL","Privado",12,"Produção de tecidos de Algodão"
"33.433.665/0001-48",2014-01-01,"3182","03182","318","DOCA","Emp. Adm. Part. - Telecomunicações","1892-11-03","1977-07-20","DOCAS INVESTIMENTOS SA","Privado",12,"Holding não financeira - participação em empresas de mídia e telecomunicações."
"88.610.191/0001-54",2023-01-01,"5312","05312","531","MNDL","Têxtil e Vestuário","1896-04-02","1979-12-12","MUNDIAL S.A. - PRODUTOS DE CONSUMO","Privado",12,"Componentes diversos para Indústria de calçados confecções, artigos de cuidados pessoais e de cultelaria."
"92.690.783/0001-09",2023-01-01,"8656","08656","865","GOAU","Emp. Adm. Part. - Metalurgia e Siderurgia","1901-02-01","1968-05-17","METALURGICA GERDAU S.A.","Privado",12,"Participação e Administração"
"33.009.911/0001-39",2015-01-01,"4057","04057","405","CRUZ","Bebidas e Fumo","1903-04-25","1969-09-18","SOUZA CRUZ SA","Estrangeiro",12,"Fabricação de cigarros e exportação de fumo."
"60.444.437/0001-46",2023-01-01,"8036","08036","803",NA,"Energia Elétrica","1904-06-30","1968-11-25","LIGHT SERVICOS DE ELETRICIDADE S.A.","Privado",12,"A LIGHT - Serviços de Eletricidade S.A. tem como atividade a distribuição de energia elétrica."
"19.527.639/0001-58",2023-01-01,"3271","03271","327","FLCL","Energia Elétrica","1905-02-26","1969-12-17","ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S/A","Privado",12,"Concessionária de serviço público de distribuição de energia."
"61.079.117/0001-05",2023-01-01,"10456","10456","1045","ALPA","Têxtil e Vestuário","1907-04-03","1977-07-20","ALPARGATAS S.A.","Privado",12,"Indústria e comércio de calçados e artigos esportivos"
"97.191.902/0001-94",2023-01-01,"4693","04693","469","ODER","Alimentos","1908-08-12","1977-07-20","CONSERVAS ODERICH S.A.","Privado",12,"Indústria de alimentos com sede na cidade de São Sebastião do Caí (RS) e filiais nas cidades de Eldorado do Sul (RS), Pelotas (RS), Orizona (GO) e Salvador (BA)."
"33.050.071/0001-58",2023-01-01,"3050","03050","305","CBEE","Energia Elétrica","1909-06-03","1969-08-15","AMPLA ENERGIA E SERVICOS S.A.","Estrangeiro",12,"Distribuição de energia elétrica"
"82.981.929/0001-03",2022-01-01,"3549","03549","354","SCLO","Têxtil e Vestuário","1911-01-01","1985-06-28","CIA INDUSTRIAL SCHLOSSER S.A.","Privado",12,"Tecidos para Vestuário"
"60.851.615/0001-53",2023-01-01,"1520","01520","152","BDLL","Máquinas, Equipamentos, Veículos e Peças","1911-02-11","1969-11-26","BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL","Privado",12,"Bens de capital, Produtos e Serviços para os segmentos de Metalurgia, Movimentação de Materiais, Óleo e Gás, Energia e Aços Laminados e Trefilados, para os mercados nacionais e internacional"
"21.254.073/0001-80",2023-01-01,"3450","03450","345",NA,"Emp. Adm. Part. - Energia Elétrica","1911-05-01","2017-11-23","Companhia Itaunense Energia e Participações","Privado",12,"(a) atividade imobiliária de imóveis próprios (6810-2) (b) aluguel e arrendamento de imóveis próprios (6810-2) (c) comercialização de energia elétrica (d) geração de energia (e) transmissão de ene"
"61.067.161/0001-97",2019-01-01,"9040","09040","904","NAFG","Extração Mineral","1912-08-30","1977-07-20","NADIR FIGUEIREDO IND E COM S.A.","Privado",12,"Fabricação de artigos de vidro para uso doméstico e embalagem"
"33.050.196/0001-88",2023-01-01,"3824","03824","382","PALF","Energia Elétrica","1912-11-16","1969-08-19","CIA PAULISTA DE FORCA E LUZ","Privado",12,"Prestação de Serviço Público de Distribuição de Energia Elétrica"
"60.500.139/0001-26",2023-01-01,"10472","10472","1047","SLED","Comércio (Atacado e Varejo)","1914-12-13","1977-07-20","SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL","Privado",12,"Edição, indústria e comércio de livros e publicações em geral."
"20.933.354/0001-04",2013-01-01,"4111","04111","411",NA,"Têxtil e Vestuário","1916-11-03","1969-08-22","CACHOEIRA VELONORTE","Privado",12,"Industrialização e comercialização de tecidos em geral prestação de serviços para terceiros dentro de suas atividades importações e exportações relacionadas com seus objetos sociais."
"92.665.611/0001-77",2023-01-01,"9342","09342","934","PNVL","Comércio (Atacado e Varejo)","1920-01-23","1977-07-20","DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS","Privado",12,"Comercio atacadista e varejista de medicamentos e produtos de perfumaria e toucador"
"61.351.532/0001-68",2023-01-01,"11975","11975","1197","AZEV","Construção Civil, Mat. Constr. e Decoração","1922-06-25","1984-08-20","AZEVEDO E TRAVASSOS S.A.","Privado",12,"Execução de obras de construção pesada junto à órgãos púbicos e iniciativa privada."
"84.208.123/0001-02",2015-01-01,"3174","03174","317","IMBI","Serviços Transporte e Logística","1923-11-01","2015-08-05","CIA DOCAS DE IMBITUBA","Privado",12,"Administração Portuária"
