"cnpj","dataReferencia","codigoCVM","codigoCVM2","codigoCVMsemDigito","dataConstituicao","nomeEmpresarial","especieControleAcionario","mesEncerraExercSocial","setorCVM","descricaoAtividade"
"00.000.000/0001-91",2023-01-01,1023,"01023","102","1808-10-12","BCO BRASIL S.A.","Estatal",12,"Bancos","Banco Múltiplo"
"15.124.464/0001-87",2022-01-01,1244,"01244","124","1834-07-13","BANCO BESA S.A.","Privado",12,"Bancos",""
"05.707.616/0001-10",2018-01-01,80160,"80160","8016","1857-03-21","BANCO SANTANDER S.A.","Estrangeiro",12,"Bancos","Instituição Financeira"
"15.144.017/0001-90",2023-01-01,3115,"03115","311","1870-01-15","CIA SEGUROS ALIANCA DA BAHIA","Privado",12,"Seguradoras e Corretoras","COMPANHIA DE SEGUROS"
"61.856.571/0001-17",2023-01-01,15636,"15636","1563","1872-08-28","CIA GAS DE SAO PAULO - COMGAS","Privado",12,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás","Setor de atividade: Utilidade Pública: Distribuição de gás natural canalizado."
"17.245.234/0001-00",2023-01-01,3077,"03077","307","1883-04-02","CIA FIACAO TECIDOS CEDRO CACHOEIRA","Privado",12,"Têxtil e Vestuário","Indústria têxtil"
"60.730.348/0001-66",2023-01-01,3654,"03654","365","1890-09-12","CIA MELHORAMENTOS DE SAO PAULO","Privado",12,"Papel e Celulose",""
"21.255.567/0001-89",2023-01-01,4081,"04081","408","1891-10-23","CIA TECIDOS SANTANENSE","Privado",12,"Têxtil e Vestuário","Indústria têxtil"
"82.981.671/0001-45",2013-01-01,5827,"05827","582","1892-03-11","FAB TECIDOS CARLOS RENAUX SA - EM RECUPERACAO JUDICIAL","Privado",12,"Têxtil e Vestuário","Produção de tecidos de Algodão"
"33.433.665/0001-48",2014-01-01,3182,"03182","318","1892-11-03","DOCAS INVESTIMENTOS SA","Privado",12,"Emp. Adm. Part. - Telecomunicações","Holding não financeira - participação em empresas de mídia e telecomunicações."
"88.610.191/0001-54",2023-01-01,5312,"05312","531","1896-04-02","MUNDIAL S.A. - PRODUTOS DE CONSUMO","Privado",12,"Têxtil e Vestuário","Componentes diversos para Indústria de calçados confecções, artigos de cuidados pessoais e de cultelaria."
"92.690.783/0001-09",2023-01-01,8656,"08656","865","1901-02-01","METALURGICA GERDAU S.A.","Privado",12,"Emp. Adm. Part. - Metalurgia e Siderurgia","Participação e Administração"
"33.009.911/0001-39",2015-01-01,4057,"04057","405","1903-04-25","SOUZA CRUZ SA","Estrangeiro",12,"Bebidas e Fumo","Fabricação de cigarros e exportação de fumo."
"60.444.437/0001-46",2023-01-01,8036,"08036","803","1904-06-30","LIGHT SERVICOS DE ELETRICIDADE S.A.","Privado",12,"Energia Elétrica","A LIGHT - Serviços de Eletricidade S.A. tem como atividade a distribuição de energia elétrica."
"19.527.639/0001-58",2023-01-01,3271,"03271","327","1905-02-26","ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S/A","Privado",12,"Energia Elétrica","Concessionária de serviço público de distribuição de energia."
"61.079.117/0001-05",2023-01-01,10456,"10456","1045","1907-04-03","ALPARGATAS S.A.","Privado",12,"Têxtil e Vestuário","Indústria e comércio de calçados e artigos esportivos"
"97.191.902/0001-94",2023-01-01,4693,"04693","469","1908-08-12","CONSERVAS ODERICH S.A.","Privado",12,"Alimentos","Indústria de alimentos com sede na cidade de São Sebastião do Caí (RS) e filiais nas cidades de Eldorado do Sul (RS), Pelotas (RS), Orizona (GO) e Salvador (BA)."
