"razao_social";"setor";"ranking";"carteira";"score_ise_b3";"capital_humano";"governanca_corporativa_e_alta_gestao";"modelo_de_negocios_e_inovacao";"capital_social";"meio_ambiente";"cdp";"ano";"mudanca_do_clima_cdp_climate_change"
"AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A";"Bens Industriais/Máquinas e Equipamentos/Máq. e Equip. Industriais";67;"Não";43,8569110924636;0,566971801346801;0,520127027260179;0,286517857142857;0,486904761904762;0,627893217893218;0,143;2021;NA
"AES BRASIL ENERGIA S.A.";"Utilidade Pública/Energia Elétrica (Geração e Transmissão)";19;"Sim";74,738543811819;0,70881734006734;0,871942916161012;0,758333333333333;0,810582010582011;0,815607142857143;0,714;2021;NA
"ALIANSCE SONAE SHOPPING CENTERS S.A.";"Financeiro e Outros/Exploração de Imóveis";61;"Não";50,6860094649044;0,322428451178451;0,528267470251166;0,464880952380952;0,585674603174603;0,710909090909091;0,429;2021;NA
"AMBEV S.A.";"Consumo Não Cíclico/Bebidas/Cervejas e Refrigerantes";53;"Não";58,8304345322157;0,76489898989899;0,893187223286328;0,846011904761905;0,800950491307634;0,880560064935065;0,857;2021;NA
"AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A";"Utilidade Pública/Água e Saneamento";8;"Sim";79,0396040565619;0,7930765993266;0,857590494750821;0,89047619047619;0,84041477702192;0,931818181818182;0,429;2021;NA
"AMERICANAS S.A";"Consumo Cíclico/Comércio/Produtos Diversos";26;"Sim";72,9676645310444;0,628735269360269;0,845580219900872;0,889761904761905;0,722709750566893;0,577272727272727;0,714;2021;NA
"ANIMA HOLDING S.A.";"Consumo Cíclico/Diversos/Serviços Educacionais";65;"Não";47,5880796690535;0,369385521885522;0,537739205347635;0,569940476190476;0,649219576719577;0,3;0,429;2021;NA
"AREZZO INDÚSTRIA E COMÉRCIO S.A.";"Consumo Cíclico/Tecidos, Vestuário e Calçados/Calçados";40;"Sim";64,3850761643041;0,61739898989899;0,784185738689415;0,810357142857143;0,53234126984127;0,689821428571429;0,429;2021;NA
"AZUL S.A.";"Bens Industriais/Transporte/Transporte Aéreo";52;"Sim";58,8883662675227;0,500208333333333;0,650336427710815;0,631488095238095;0,619087301587301;0,418181818181818;0,714;2021;NA
"BCO BRADESCO S.A.";"Financeiro e Outros/Intermediários Financeiros/Bancos";12;"Sim";77,3301717681473;0,675441919191919;0,872412939566472;0,810406746031746;0,844821428571429;0,722727272727273;0,714;2021;NA
"BCO BRASIL S.A.";"Financeiro e Outros/Intermediários Financeiros/Bancos";29;"Sim";71,7748244222023;0,734027777777778;0,856869819115064;0,689616158963585;0,716521164021164;0,595454545454546;0,714;2021;NA
