empresa;ano;caixaEquiv;aplicFinanc;clientesCP;estoques;atvCirc;clientesLP;investimento;imobilizado;intangLiquido;atvNaoCirc;forneced;empFinCP;passivoCirc;empFinLP;passivoNaoCirc;patLiquido;ativoTotal;receita;custoMercVend;despVendas;despAdm;despOperac;receitaFinanc;despesaFinanc;impostoRenda;depreciacao;ebit;lucroLiquido;lair;flxCxOper;flxCxInvest;flxCxFinanc
alpha;2016;5198;246286;326524;114409;731360;14162;937;75651;89019;208068;68809;81780;209012;28042;36886;693530;939428;1283203;714366;313479;96149;412126;36926;31050;42304;26733;156710;120282;162586;105328;-21703;-87013
alpha;2017;10517;339427;348944;117527;885670;11898;3029;70042;82011;201589;108131;169555;369522;18657;29114;688622;1087259;1408886;762921;346107;117866;466152;35051;25420;29475;33793;179811;159966;189442;180074;-94960;-79850
alpha;2018;8803;235388;396347;156229;871963;11101;3442;86161;69558;210255;114039;45542;264994;69839;80569;736654;1082219;1580984;845023;392405;145877;537875;41463;63502;28327;42336;198085;147719;176047;122029;74806;-199408
alpha;2019;14299;273264;428123;185886;1015561;10772;3124;314902;77717;447977;139769;163852;481193;23364;209725;772619;1463539;1738990;935693;439467;190560;572255;25599;44422;44309;83180;231041;167908;212218;212172;-88448;-118347
alpha;2020;39659;541474;620133;301247;1620553;2655;3123;327555;859397;1312787;413394;248004;943850;408834;592903;1396586;2933340;1647607;865520;548811;168007;686700;67862;106750;6186;83989;95386;50312;56499;228155;-307860;105061
alpha;2021;34950;236951;818424;466517;1705386;4428;2963;418239;1051033;1780729;595164;514541;1573053;39075;264405;1648657;3486116;3027870;1434437;915882;327469;1108236;43884;110857;62273;109511;485197;357519;418225;250547;-11155;-241822
beta;2016;638296;348941;2848029;685837;4946405;0;198967;2064054;116819;3049098;470035;964665;3153677;682578;1096788;3745037;7995504;6132371;2430957;2627205;722909;3283417;239311;372009;-43552;296241;417996;328851;285298;432280;-288833;114422
beta;2017;424887;385275;3238419;756244;5216758;0;191662;1913395;142323;3049048;543010;601674;2925194;744260;1172340;4168272;8265807;6673991;2421619;2810458;806213;3332125;128636;245499;212759;310771;920245;590622;803381;467564;-178170;-502803
beta;2018;794002;409930;3948398;959776;6751661;0;184565;1950785;194824;4093136;538262;752838;4077164;1466403;1663082;5104549;10844797;7448543;2613368;3230298;852201;3374906;565639;173196;573065;301594;1460267;1279645;1852711;288662;-384611;465064
beta;2019;976565;648776;4506212;1089208;7776451;0;177847;2882768;305515;5274530;654399;850988;4557098;2075054;3083376;5410507;13050981;8085892;2983419;3511008;956785;4266193;201328;299893;123972;529456;836279;613740;737713;616965;-563624;129222
beta;2020;3025923;472600;3871071;1080020;9010681;0;171972;2668856;500918;5307927;1070416;1348261;5261283;2882409;3851085;5206240;14318609;6467612;3194425;2408253;1061708;3305722;114120;289302;-179596;542805;-32534;-28120;-207716;1439909;-133830;743278
beta;2021;1787186;377758;5429959;1317861;9147019;0;171845;2578530;754295;5846613;1083458;1428407;6301918;2275742;3237512;5454202;14993633;7478145;3451861;2608426;1205667;3600067;164055;371633;-250613;569544;426216;469252;218638;31522;-162333;-1107925
gama;2016;620461;848127;601675;1653562;4059330;3697;304285;579996;531305;2258365;2449115;867836;3803108;1046727;1870881;643705;6317695;9847112;6820496;1839465;637449;2424997;120806;642584;-9805;138366;601617;89645;79839;277278;-140352;-155902
gama;2017;427393;1304374;1285461;2039411;5444708;4909;322426;589275;551303;2238826;3023432;449748;4283216;452761;1252539;2147779;7683535;12410707;8676377;2195391;703250;2815047;114025;539465;90977;148149;919282;402865;493842;20170;-174659;-38578
gama;2018;620405;423669;2124561;2910250;6640573;7840;319438;781092;620130;2469197;4251328;135395;5580350;336797;1144601;2384819;9109771;16145227;11446342;2845214;786871;3578847;138694;443869;196174;169514;1120037;618688;814863;1280152;-408136;-679003
gama;2019;316625;4606445;3018765;3937048;13298111;17441;315947;3469716;1600628;7197223;6146068;10321;8287357;868712;4373843;7834134;20495335;20593961;14842363;3566670;1230856;4417181;663723;736642;306866;504303;1334416;954631;1261497;-3448036;-961629;4105886
gama;2020;1741207;1265255;4931350;6138155;17396593;16714;400486;3856182;1954145;8127676;8803918;1726507;13893556;20277;4044757;7585956;25524270;30215376;22427817;5346328;1666589;6933640;189893;614995;23168;727522;853918;405647;428816;2696540;-674626;-597332
